City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Coahuayana,MX,18.7333,-103.6833,67.69,79,12,2.8,few clouds
79,Faanui,PF,-16.4833,-151.75,81.28,70,1,15.12,clear sky
80,Las Animas,CL,-39.8087,-73.2182,59.14,96,18,1.81,few clouds
81,Gornopravdinsk,RU,60.05,69.9,23.5,95,100,8.57,overcast clouds
82,Hasaki,JP,35.7333,140.8333,48.29,57,100,8.55,overcast clouds
83,Ridgecrest,US,35.6225,-117.6709,45.43,26,20,3.44,few clouds
84,Makakilo City,US,21.3469,-158.0858,79.12,45,0,9.22,clear sky
85,Fairbanks,US,64.8378,-147.7164,0.48,53,0,8.05,clear sky
86,Kiunga,PG,-6.1219,141.2906,94.1,44,18,3.49,few clouds
87,Victoria,HK,22.2855,114.1577,61.18,76,67,1.99,broken clouds
88,Taseyevo,RU,57.2169,94.8978,13.57,91,100,5.44,overcast clouds
89,Hermanus,ZA,-34.4187,19.2345,60.91,72,100,9.33,overcast clouds
90,Balkhash,KZ,46.844,74.9804,3.81,72,0,13.42,clear sky
91,Beringovskiy,RU,63.05,179.3167,0.3,78,100,18.1,overcast clouds
92,Georgetown,MY,5.4112,100.3354,87.73,71,20,3.0,few clouds
93,Jamestown,US,42.097,-79.2353,22.08,69,100,8.99,snow
94,Aden,YE,12.7794,45.0367,76.6,60,1,7.09,clear sky
95,Te Anau,NZ,-45.4167,167.7167,48.34,97,100,3.22,moderate rain
96,Mahebourg,MU,-20.4081,57.7,81.25,94,75,20.71,broken clouds
97,Yarada,IN,17.65,83.2667,73.72,88,40,2.3,mist
98,Tabory,RU,58.5198,64.5495,23.92,95,100,7.23,overcast clouds
99,Savonlinna,FI,61.8699,28.88,1.45,85,100,2.3,overcast clouds
100,Yerbogachen,RU,61.2767,108.0108,7.57,95,100,4.27,overcast clouds
101,Abancay,PE,-13.6339,-72.8814,58.42,95,93,3.8,light rain
102,Bredasdorp,ZA,-34.5322,20.0403,58.32,77,100,3.44,overcast clouds
103,Kodiak,US,57.79,-152.4072,38.71,81,100,17.27,haze
104,San Francisco,US,37.7749,-122.4194,56.5,74,40,1.01,scattered clouds
105,Atuona,PF,-9.8,-139.0333,79.0,72,4,17.02,clear sky
106,Palamuse,EE,58.6843,26.584,11.95,100,99,3.04,overcast clouds
107,Barrow,US,71.2906,-156.7887,-25.58,91,100,0.0,mist
108,Lerik,AZ,38.7726,48.4128,39.92,55,0,10.76,clear sky
109,Geraldton,AU,-28.7667,114.6,108.01,9,0,10.36,clear sky
110,Zeya,RU,53.75,127.2667,1.08,54,51,3.94,broken clouds
111,Saint Anthony,US,45.0205,-93.218,1.02,65,0,0.0,clear sky
112,Coihaique,CL,-45.5752,-72.0662,56.01,76,20,3.44,few clouds
113,Provideniya,RU,64.3833,-173.3,2.77,58,8,23.31,clear sky
114,Gresham,US,45.4982,-122.4315,44.87,93,0,0.0,clear sky
115,Eureka,US,40.8021,-124.1637,46.26,84,2,1.01,clear sky
116,Maceio,BR,-9.6658,-35.7353,76.44,88,20,2.3,few clouds
117,Lebedyn,UA,50.5852,34.4849,19.76,95,97,10.69,overcast clouds
118,Tiksi,RU,71.6872,128.8694,-11.69,100,100,7.02,overcast clouds
119,Tasiilaq,GL,65.6145,-37.6368,12.36,60,85,6.13,overcast clouds
120,Palora,EC,-1.7,-77.9333,67.89,93,100,2.33,light rain
121,Aktau,KZ,43.65,51.2,37.98,73,100,10.96,overcast clouds
122,Luderitz,NA,-26.6481,15.1594,68.16,70,1,15.68,clear sky
123,Avarua,CK,-21.2078,-159.775,82.45,78,75,16.11,broken clouds
124,Mbandaka,CD,0.0487,18.2603,70.39,77,98,4.41,overcast clouds
125,Yarmouth,US,41.7057,-70.2286,50.97,97,100,10.36,mist
126,Tommot,RU,58.9564,126.2925,-5.84,90,100,8.03,overcast clouds
127,Ucluelet,CA,48.9329,-125.5528,46.09,94,100,4.03,overcast clouds
128,Fort Nelson,CA,58.8053,-122.7002,-11.61,77,100,4.61,light snow
129,Sept-Iles,CA,50.2001,-66.3821,4.05,59,75,3.0,broken clouds
130,Kaitangata,NZ,-46.2817,169.8464,49.05,96,100,2.73,moderate rain
131,Afua,BR,-0.1567,-50.3867,74.89,95,100,5.3,overcast clouds
132,Estelle,US,29.8458,-90.1067,48.2,93,100,10.36,thunderstorm
133,Valparaiso,CL,-33.0393,-71.6273,63.52,88,0,4.61,clear sky
134,Hofn,IS,64.2539,-15.2082,28.96,57,100,20.58,overcast clouds
135,Tamandare,BR,-8.7597,-35.1047,78.53,76,89,8.39,overcast clouds
136,Itarema,BR,-2.9248,-39.9167,78.13,85,80,10.18,broken clouds
137,Le Vauclin,MQ,14.5452,-60.8388,76.84,83,0,5.75,clear sky
138,Inverness,GB,57.4791,-4.224,36.99,87,20,5.99,few clouds
139,Dunedin,NZ,-45.8742,170.5036,50.7,96,100,4.94,overcast clouds
140,Korla,CN,41.7597,86.1469,26.19,44,100,7.56,overcast clouds
141,Kodinsk,RU,58.6881,99.1844,10.24,95,100,4.88,light snow
142,Fortuna,US,40.5982,-124.1573,47.19,90,0,0.0,clear sky
143,Basoko,CD,1.2391,23.616,71.15,79,100,2.95,overcast clouds
144,Bac Lieu,VN,9.285,105.7244,84.83,61,20,23.91,few clouds
145,Dwarka,IN,22.2394,68.9678,68.52,47,5,4.83,clear sky
146,Cabo San Lucas,MX,22.8909,-109.9124,67.51,58,20,8.05,few clouds
147,Mananara,MG,-16.1667,49.7667,75.74,84,100,6.51,overcast clouds
148,Bethel,US,41.3712,-73.414,49.77,93,100,6.91,light rain
149,Kavieng,PG,-2.5744,150.7967,83.52,71,82,5.46,broken clouds
150,Minas,UY,-34.3759,-55.2377,70.52,97,100,5.73,overcast clouds
151,Pisco,PE,-13.7,-76.2167,69.85,73,0,9.22,clear sky
152,Tecolutla,MX,20.4833,-97.0167,64.26,90,100,17.43,overcast clouds
153,Shingu,JP,33.7333,135.9833,49.19,32,60,3.56,broken clouds
154,Xam Nua,LA,20.4197,104.0439,58.91,76,95,3.4,overcast clouds
155,Aksu,CN,41.1231,80.2644,26.89,49,100,3.56,overcast clouds
156,Shenjiamen,CN,29.9576,122.298,44.8,63,100,14.61,overcast clouds
157,Belmonte,BR,-15.8631,-38.8828,79.3,81,93,5.28,overcast clouds
158,Qasigiannguit,GL,68.8193,-51.1922,23.25,95,100,8.25,light snow
159,Sitka,US,57.0531,-135.33,46.29,81,100,24.16,moderate rain
160,Nelson Bay,AU,-32.7167,152.15,76.95,79,12,1.01,few clouds
161,Constitucion,CL,-35.3333,-72.4167,58.37,92,47,9.19,scattered clouds
162,Laguna,US,38.421,-121.4238,53.44,69,0,0.0,clear sky
163,Barabai,ID,-2.5833,115.3833,83.73,75,100,1.66,overcast clouds
164,Hit,IQ,33.6416,42.8251,54.23,41,58,8.08,broken clouds
165,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,63,0,7.0,clear sky
166,Ribeira Grande,PT,38.5167,-28.7,58.6,75,100,17.43,overcast clouds
167,Mbekenyera,TZ,-10.0,38.9833,70.5,99,100,1.5,overcast clouds
168,Merauke,ID,-8.4667,140.3333,85.24,71,100,11.54,overcast clouds
169,Katsuura,JP,35.1333,140.3,42.91,71,100,10.6,overcast clouds
170,Mayo,US,38.8876,-76.5119,60.78,93,100,1.01,overcast clouds
171,Kiama,AU,-34.6833,150.8667,75.0,58,86,17.02,overcast clouds
172,Batagay,RU,67.6333,134.6333,-29.7,97,61,0.67,broken clouds
173,Gizo,SB,-8.103,156.8419,81.79,77,100,11.23,overcast clouds
174,Longyearbyen,SJ,78.2186,15.6401,15.64,73,75,6.91,broken clouds
175,Namtsy,RU,62.7161,129.6658,-18.29,92,98,6.33,overcast clouds
176,Luau,AO,-10.7073,22.2247,62.94,99,100,2.21,overcast clouds
