City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Mana,GF,75.56,overcast clouds,5.6592,-53.7767,LE SAMANA
379,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
380,Moerai,PF,79.47,overcast clouds,-22.4333,-151.3333,Le Manotel
388,Souillac,MU,81.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
394,Padang,ID,84.25,broken clouds,-0.9492,100.3543,Mercure Padang
396,Benjamin Constant,BR,77.13,broken clouds,-4.3831,-70.0311,CASA AVALIADA
403,Porto Novo,BJ,75.79,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
404,Durban,ZA,76.12,overcast clouds,-29.8579,31.0292,Hilton Durban
405,Kathu,TH,87.62,few clouds,7.9178,98.3332,Novotel Phuket Resort
411,Puerto Escondido,MX,76.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
417,Ratnagiri,IN,75.56,broken clouds,16.9833,73.3,Hotel Landmark
426,Cockburn Town,TC,75.83,clear sky,21.4612,-71.1419,Osprey Beach Hotel
429,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
434,Takoradi,GH,77.74,light rain,4.8845,-1.7554,Raybow International Hotel
446,Port Augusta,AU,84.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
447,Bom Jardim,BR,75.54,overcast clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
457,Kavaratti,IN,79.18,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
468,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
469,Yulara,AU,80.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
484,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
492,Cairns,AU,87.75,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
502,Tabou,CI,77.47,light rain,4.423,-7.3528,hotêl doufoulougou
509,Sarangani,PH,79.56,moderate rain,5.4033,125.4636,Ballistic Islet
515,Ahipara,NZ,76.42,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
518,Santiago De Cuba,CU,75.31,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
524,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
526,Caucaia,BR,82.35,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
530,Poum,NC,82.58,light rain,-20.2333,164.0167,Gîte kajeon
531,Dicabisagan,PH,78.6,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
536,Flinders,AU,76.37,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
537,Saint-Joseph,RE,79.16,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
538,Ciudad Bolivar,VE,77.88,scattered clouds,8.1222,-63.5497,Hotel Edi
543,Saint-Pierre,RE,80.24,light rain,-21.3393,55.4781,Lindsey Hôtel
553,Nieuw Amsterdam,SR,76.01,overcast clouds,5.8833,-55.0833,Hotel Stardust
559,Ballina,AU,77.18,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
570,Mitsamiouli,KM,82.33,overcast clouds,-11.3847,43.2844,Foyer ADM
573,Manavalakurichi,IN,82.49,few clouds,8.1333,77.3,Jebinrio home
